计算元件基本参数及相互连接关系文件											
元件个数（上下游边界不算做计算元件）											
291											
各类型个数											
渠道	渐变段	倒虹吸	节制闸	分水口							
143	5	64									
144	7	49									
145	5	65									
146	7	50									
147	5	66									
148	7	51									
149	5	67									
150	4	16									
151	5	68									
152	6	9									
153	5	69									
154	7	52									
155	5	70									
156	7	53									
157	5	71									
158	7	54									
159	5	72									
160	7	55									
161	5	73									
162	4	17									
163	5	74									
164	7	56									
165	5	75									
166	7	57									
167	5	76									
168	4	18									
169	5	77									
170	6	10									
171	5	78									
172	7	58									
173	5	79									
174	7	59									
175	5	80									
176	7	60									
177	5	81									
178	7	61									
179	5	82									
180	7	62									
181	5	83									
182	7	63									
183	5	84									
184	7	64									
185	5	85									
186	7	65									
187	5	86									
188	4	19									
189	5	87									
190	7	66									
191	10	9									
192	6	11									
193	5	88									
194	7	67									
195	5	89									
196	7	68									
197	5	90									
198	7	69									
199	5	91									
200	7	70									
201	5	92									
202	7	71									
203	10	10									
204	7	72									
205	5	93									
206	7	73									
207	5	94									
208	7	74									
209	5	95									
210	7	75									
211	5	96									
212	7	76									
213	5	97									
214	7	77									
215	5	98									
216	4	20									
217	5	99									
218	4	21									
219	5	100									
220	7	78									
221	10	11									
222	6	12									
223	5	101									
224	7	79									
225	5	102									
226	7	80									
227	10	12									
228	7	81									
229	5	103									
230	7	82									
231	5	104									
232	7	83									
233	5	105									
234	7	84									
235	10	13									
236	7	85									
237	5	106									
238	7	86									
239	5	107									
240	7	87									
241	5	108									
242	7	88									
243	5	109									
244	7	89									
245	5	110									
246	7	90									
247	10	14									
248	7	91									
249	5	111									
250	7	92									
251	10	15									
252	6	13									
253	5	112									
254	7	93									
255	5	113									
256	7	94									
257	5	114									
258	7	95									
259	5	115									
260	7	96									
261	5	116									
262	7	97									
263	5	117									
264	7	98									
265	5	118									
266	7	99									
267	5	119									
268	7	100									
269	5	120									
270	4	22									
271	5	121									
272	7	101									
273	5	122									
274	4	23									
275	5	123									
276	7	102									
277	5	124									
278	7	103									
279	5	125									
280	7	104									
281	10	16									
282	7	105									
283	5	126									
284	7	106									
285	10	17									
286	7	107									
287	5	127									
288	4	24									
289	5	128									
290	4	25									
291	5	129									
渠道参数数组	渠道名称	进口里程	出口里程	底宽	边坡系数	进口底高程	出口底高程	进口顶高程	出口顶高程	糙率	
1	CH-古运河暗渠进口渠道	969.379	970.379	14	0	70.403	70.403	77.003	77.003	0.015	
2	CH-古运河暗渠	970.379	970.888	19.8	0	70.403	70.337	78.167	78.167	0.015	
3	CH-古运河暗渠-石津渠暗渠	970.948	971.781	22.2	2.5	70.244	70.202	78.167	78.124	0.015	
4	CH-石津渠暗渠	971.851	972.001	19.8	0	70.202	70.179	78.002	77.979	0.014	
5	CH-渠道渐变段-渠道渐变段	972.085	973.32	13.5	2.5	70.118	70.067	78.018	77.966	0.015	
6	CH-渠道渐变段-滹沱河退水闸	973.33	977.801	13.5	3	70.067	69.870	77.966	77.771	0.015	
7	CH-滹沱河退水闸-滹沱河倒虹吸	977.801	977.851	10	3	69.870	69.821	77.762	77.722	0.015	
8	CH-滹沱河倒虹吸出口渠道	980.116	980.263	18	0	67.787	67.787	73.787	73.787	0.015	
9	CH-渠道渐变段-永安分水口	980.353	983.866	20.4	3	69.987	69.841	76.878	76.732	0.015	
10	CH-永安分水口-渠道渐变段	983.966	987.211	21	3	69.841	69.709	76.732	76.606	0.015	
11	CH-渠道渐变段-磁河古道退水闸	987.231	989.591	20	2	69.709	69.614	76.606	76.496	0.015	
12	CH-渠道渐变段-磁河古道退水闸	989.611	993.346	23.5	2.5	69.614	69.462	76.496	76.347	0.015	
13	CH-磁河古道退水闸-渠道渐变段	993.346	997.411	21.5	2.5	69.462	69.302	76.347	76.225	0.015	
14	CH-渠道渐变段-渠道渐变段	997.421	998.891	21.5	2	69.302	69.242	76.225	76.146	0.015	
15	CH-渠道渐变段-磁河倒虹吸	998.911	1001.733	23.5	2.5	69.242	69.129	76.146	76.038	0.015	
16	CH-磁河倒虹吸出口渠道	1002.169	1002.254	18	0	66.721	66.721	72.721	72.721	0.015	
17	CH-磁河倒虹吸-西名村分水口	1002.312	1007.13	20.4	2.5	68.879	68.678	75.788	75.590	0.015	
18	CH-渠道渐变段-西名村分水口	1007.33	1007.496	21.5	3	68.678	68.669	75.590	75.584	0.015	
19	CH-西名村分水口-渠道渐变段	1007.496	1011.410	20	3	68.669	68.515	75.584	75.441	0.015	
20	CH-渠道渐变段-沙河(北)退水闸	1011.42	1015.126	20	2.5	68.515	68.363	75.441	75.293	0.015	
21	CH-沙河(北)退水闸-沙河北倒虹吸	1015.126	1015.275	21.5	2.5	68.363	68.360	75.290	75.290	0.015	
22	CH-沙河北倒虹吸出口渠道	1017.385	1017.43	18	0	65.344	65.344	71.344	71.344	0.015	
23	CH-渠道渐变段-渠道渐变段	1017.49	1019.095	20.4	2.5	67.574	67.510	74.442	74.442	0.015	
24	CH-渠道渐变段-朔黄铁路涵洞	1019.115	1027.279	21.5	3	67.510	67.183	74.442	74.140	0.015	
25	CH-朔黄铁路涵洞	1027.319	1027.420	19.5	0	67.183	67.026	75.183	75.026	0.014	
26	CH-朔黄铁路涵洞-留营分水口	1027.475	1030.769	22	2.5	67.026	66.891	73.971	73.844	0.015	
27	CH-留营分水口-孟良河倒虹吸	1030.769	1035.575	21.5	2.5	66.891	66.701	73.844	73.668	0.015	
28	CH-孟良河渠道倒虹吸-中管头分水口	1035.975	1036.023	20.6	2.5	66.516	66.515	73.483	73.481	0.015	
29	CH-中管头分水口-漠道沟倒虹吸	1036.023	1036.756	20	2.5	66.515	66.513	73.446	73.446	0.015	
30	CH-漠道沟倒虹吸出口渠道	1036.963	1037.053	16.5	0	64.554	64.554	70.054	70.054	0.015	
31	CH-渠道渐变段-唐河退水闸	1037.987	1044.822	15	3	66.284	66.008	72.990	72.990	0.015	
32	CH-唐河退水闸-唐河渠道倒虹吸进口	1044.822	1045.131	15	3	66.008	65.998	72.990	72.981	0.015	
33	CH-唐河倒虹吸出口-渠道渐变段	1046.196	1046.216	18.7	0	63.785	63.785	72.468	72.468	0.015	
34	CH-渠道渐变段-渠道渐变段	1046.286	1047.175	18.7	2.5	65.985	65.953	72.468	72.438	0.015	
35	CH-渠道渐变段-渠道渐变段	1047.185	1058.465	21.5	2	65.953	65.497	72.438	72.006	0.015	
36	CH-渠道渐变段-高昌分水口	1058.485	1061.371	23	2.5	65.497	65.379	72.006	71.900	0.015	
37	CH-渠道渐变段-高昌分水口	1061.371	1070.37	21.5	2.5	65.379	64.994	71.898	71.539	0.015	
38	CH-高昌分水口-放水河渡槽进口	1070.37	1071.817	21.5	2.5	64.994	64.937	71.539	71.485	0.015	
39	CH-放水河渡槽进口渠道	1071.827	1071.847	21	0	65.151	65.151	72.151	72.151	0.015	
40	CH-放水河渡槽出口渠道	1071.847	1072.161	21	0	65.151	65.105	72.151	71.333	0.014	
41	CH-放水河渡槽-曲逆中支退水闸	1072.201	1077.35	23	2.5	64.797	64.589	71.333	71.144	0.015	
42	CH-曲逆中支退水闸-塔坡分水口	1077.35	1078.853	21.5	2.5	64.589	64.53	71.092	71.092	0.015	
43	CH-渠道渐变段-塔坡分水口	1078.873	1079.569	21.5	2	64.53	64.492	71.092	71.056	0.015	
44	CH-塔坡分水口-渠道渐变段	1079.569	1080.408	20	2	64.492	64.452	71.019	70.942	0.015	
45	CH-渠道渐变段-渠道渐变段	1080.428	1082.930	20	2	64.452	64.361	71.019	70.942	0.015	
46	CH-渠道渐变段-渠道渐变段	1082.950	1084.24	23	2.5	64.361	64.285	70.942	70.871	0.015	
47	CH-渠道渐变段-蒲阳河退水闸	1084.26	1084.675	18.5	2.5	64.285	64.266	70.871	70.860	0.015	
48	CH-蒲阳河退水闸-蒲阳河倒虹吸进口	1084.675	1084.794	21.5	2.5	64.266	64.264	70.859	70.859	0.015	
49	CH-蒲阳河倒虹吸出口渠段	1085.024	1085.119	18	0	61.643	61.643	67.643	67.643	0.015	
50	CH-蒲阳河倒虹吸-渠道渐变段	1085.189	1087.129	20.4	2	64.14	64.048	70.729	70.729	0.015	
51	CH-渠道渐变段-渠道渐变段	1087.149	1089.258	21	1	64.048	63.942	70.729	70.586	0.015	
52	CH-渠道渐变段-渠道渐变段	1089.278	1089.765	23	2	63.942	63.917	70.586	70.535	0.015	
53	CH-渠道渐变段-渠道渐变段	1089.785	1092.511	20	2	63.917	63.807	70.535	70.439	0.015	
54	CH-渠道渐变段-雾山一隧洞	1092.531	1094.454	23	2.5	63.807	63.711	70.439	70.355	0.015	
55	CH-雾山一隧洞	1094.514	1095.169	15	0	62.711	62.583	68.911	68.783	0.014	
56	CH-雾山一隧洞-雾山二隧洞	1095.259	1096.568	15	2.5	63.505	63.441	70.130	70.075	0.015	
57	CH-雾山二隧洞	1096.628	1096.946	15	0	62.441	62.363	68.641	68.563	0.014	
58	CH-雾山二隧洞-界河退水闸	1096.956	1096.976	15	2	62.363	62.363	68.563	68.563	0.014	
59	CH-界河退水闸-界河倒虹吸进口	1096.976	1097.033	15	2	62.363	62.363	68.863	68.863	0.015	
60	CH-界河倒虹吸出口-渠道渐变段	1097.679	1098.493	14.3	2	63.082	63.05	69.610	69.482	0.015	
61	CH-渠道渐变段-渠道渐变段	1098.503	1101.427	21.5	2.5	63.050	62.902	69.610	69.482	0.015	
62	CH-渠道渐变段-郑家佐分水口	1101.447	1104.313	18.5	2.5	62.902	62.785	69.482	69.378	0.015	
63	CH-郑家佐分水口-吴庄隧洞	1104.313	1104.674	21.5	2.5	62.785	62.782	69.367	69.367	0.015	
64	CH-吴庄隧洞	1104.685	1106.902	15.6	0	62.075	61.697	67.975	67.597	0.014	
65	CH-吴庄隧洞出口-漕河渡槽进口	1106.982	1109.093	19.5	2.5	62.327	62.414	68.890	68.815	0.015	
66	CH-漕河渡槽	1109.148	1110.149	18	0	62.414	61.848	67.814	67.248	0.014	
67	CH-漕河渡槽出口-漕河退水闸	1110.159	1110.179	26.5	0	61.525	61.525	68.047	68.046	0.015	
68	CH-漕河退水闸-岗头隧洞进口	1110.179	1112.139	26.5	0	61.525	60.588	69.325	68.388	0.015	
69	CH-岗头隧洞	1112.074	1113.852	15.6	0	60.588	60.330	66.588	66.330	0.014	
70	CH-岗头隧洞出口-渠道渐变段	1113.928	1114.195	34.2	0.75	61.143	61.128	67.635	67.610	0.015	
71	CH-渠道渐变段-渠道渐变段	1114.235	1115.777	22.5	2	61.128	61.063	67.610	67.567	0.015	
72	CH-渠道渐变段-渠道渐变段	1115.787	1117.234	20.5	2	61.063	60.990	67.521	67.466	0.015	
73	CH-渠道渐变段-刘庄分水口	1117.254	1117.631	18.5	0.75	60.990	60.968	67.466	67.442	0.015	
74	CH-刘庄分水口-渠道渐变段	1117.631	1117.864	22.5	0.75	60.968	60.958	67.442	67.409	0.015	
75	CH-渠道渐变段-渠道渐变段	1117.894	1119.274	22.5	2	60.958	60.888	67.442	67.409	0.015	
76	CH-渠道渐变段-西黑山分水口	1119.294	1121.72	18.5	2.5	60.888	60.785	67.409	67.305	0.015	
77	CH-西黑山节制闸-渠道渐变段	1121.72	1121.84	19.5	2.5	60.785	60.783	67.305	67.291	0.015	
78	CH-西黑山节制闸出口渠段	1121.84	1121.955	30.8	2.5	60.783	60.783	67.291	67.291	0.015	
79	CH-西黑山节制闸-渠道渐变段	1121.995	1124.694	14.5	2.5	60.679	60.570	67.291	67.024	0.015	
80	CH-渠道渐变段-渠道渐变段	1124.704	1127.642	14.5	2.5	60.570	60.470	67.024	66.921	0.015	
81	CH-渠道渐变段-釜山隧洞进口	1127.682	1127.930	16.5	1	60.470	60.459	66.921	66.888	0.015	
82	CH-釜山隧洞	1127.957	1130.466	14.6	0	59.859	59.516	65.559	65.216	0.014	
83	CH-釜山隧洞出口-渠道渐变段	1130.541	1130.652	17	2	60.050	60.043	66.423	66.416	0.015	
84	CH-渠道渐变段-渠道渐变段	1130.692	1131.392	17	2	60.043	60.019	66.329	66.212	0.015	
85	CH-渠道渐变段-渠道渐变段	1131.412	1132.761	18	1	60.019	59.967	66.212	66.208	0.015	
86	CH-渠道渐变段-瀑河退水闸	1132.791	1135.088	20	2	59.967	59.888	66.208	66.208	0.015	
87	CH-瀑河退水闸-瀑河倒虹吸进口	1135.088	1135.715	18	2	59.888	59.877	66.208	66.183	0.015	
88	CH-瀑河渠道倒虹吸出口渠道	1136.841	1136.895	10	0	57.492	57.492	62.992	62.992	0.011	
89	CH-瀑河渠道倒虹吸出口节制闸-渠道渐变段	1136.905	1143.489	11.1	2.5	59.767	59.547	65.882	65.655	0.011	
90	CH-渠道渐变段-渠道渐变段	1143.509	1144.389	10	1	59.547	59.513	65.655	65.616	0.011	
91	CH-渠道渐变段起点-渠道渐变段起点	1144.399	1144.717	12.5	1	59.513	59.499	65.616	65.592	0.011	
92	CH-渠道渐变段-中易水渠道倒虹吸进口	1144.737	1145.907	12	2	59.499	59.454	65.592	65.518	0.011	
93	CH-中易水渠道倒虹吸-渠道渐变段	1147.57	1148.565	11.2	2.5	59.207	59.167	65.310	65.126	0.011	
94	CH-渠道渐变段-西市隧洞进口	1148.570	1152.516	7.5	2.5	59.167	59.008	65.126	63.708	0.011	
95	CH-西市隧洞	1152.826	1153.326	9.8	0	58.998	58.879	63.698	63.579	0.011	
96	CH-渠道渐变段-渠道渐变段	1153.386	1153.926	9.8	1.5	58.814	58.788	64.855	64.809	0.011	
97	CH-渠道渐变段-渠道渐变段	1153.946	1154.071	9.5	2	58.788	58.737	64.809	64.739	0.011	
98	CH-渠道渐变段-荆柯山分水口	1154.091	1156.414	9	0.8	58.737	58.676	64.739	64.739	0.011	
99	CH-荆柯山分水口-北易水退水闸	1156.414	1157.002	7.5	2.5	58.676	58.652	64.739	64.723	0.011	
100	CH-北易水退水闸-北易水倒虹吸	1157.002	1157.130	7.5	2.5	58.652	58.649	64.723	64.721	0.011	
101	CH-北易水倒虹出口-渠道渐变段	1157.652	1157.69	12.1	0	55.764	55.764	64.764	64.764	0.012	
102	CH-渠道渐变段-厂城倒虹进口	1157.735	1157.989	12.1	2.5	58.542	58.43	64.589	64.477	0.012	
103	CH-厂城渠道倒虹吸出口-渠道渐变段	1158.291	1160.515	12.1	2.5	58.519	58.429	64.589	64.477	0.012	
104	CH-渠道渐变段-渠道渐变段	1160.545	1161.275	7.5	1	58.429	58.39	64.477	64.427	0.012	
105	CH-渠道渐变段-七里庄沟渠道倒虹吸进口	1161.315	1163.186	11	2.5	58.39	58.315	64.427	64.354	0.012	
106	CH-七里庄沟倒虹吸-渠道渐变段	1163.482	1164.714	12.1	2.5	58.246	58.195	64.282	64.235	0.012	
107	CH-渠道渐变段-渠道渐变段	1164.744	1165.573	7.5	1	58.195	58.154	64.282	64.235	0.012	
108	CH-渠道渐变段-渠道渐变段	1165.583	1166.943	11	0.75	58.154	58.084	64.235	64.103	0.012	
109	CH-渠道渐变段-渠道渐变段	1166.973	1168.153	12	2	58.084	58.029	64.103	64.053	0.012	
110	CH-渠道渐变段-马头沟渠道倒虹吸进口	1168.173	1169.827	8	2.5	58.029	57.96	64.053	63.978	0.012	
111	CH-马头沟倒虹吸-坟庄河倒虹吸	1170.224	1172.13	12.1	2.5	57.866	57.788	63.882	63.791	0.012	
112	CH-渠道渐变段-渠道渐变段	1172.412	1172.428	11.9	0	55.596	57.696	63.676	63.676	0.013	
113	CH-渠道渐变段-渠道渐变段	1172.438	1174.771	11.9	2.5	57.696	57.601	63.676	63.586	0.013	
114	CH-渠道渐变段-渠道渐变段	1174.801	1175.231	7.5	0.75	57.601	57.575	63.586	63.533	0.013	
115	CH-渠道渐变段-渠道渐变段	1175.271	1176.371	11	2	57.575	57.519	63.533	63.476	0.013	
116	CH-渠道渐变段-渠道渐变段	1176.391	1177.77	7.5	0.5	57.519	57.448	63.476	63.393	0.013	
117	CH-渠道渐变段-渠道渐变段	1177.8	1178.82	13	2	57.448	57.407	63.393	63.356	0.013	
118	CH-渠道渐变段-下车亭隧洞	1178.84	1179.107	9	0.75	57.407	57.395	63.356	63.328	0.013	
119	CH-下车亭隧洞	1179.163	1179.868	12.8	0	56.795	56.714	63.195	63.114	0.013	
120	CH-下车亭隧洞-下车亭分水口	1179.939	1180.707	13	2	57.202	57.168	63.202	63.188	0.013	
121	CH-下车亭分水口-渠道渐变段	1180.707	1183.357	8.5	2	57.168	57.06	63.168	63.049	0.013	
122	CH-渠道渐变段终点-水北沟退水闸	1183.367	1184.713	8.5	2.5	57.06	57.001	63.049	62.985	0.013	
123	CH-水北沟退水闸-水北沟渡槽	1184.713	1184.878	7	2.5	57.001	56.997	62.983	62.983	0.013	
124	CH-水北沟渡槽	1184.916	1185.036	13	0	57.364	57.345	61.597	61.516	0.013	
125	CH-水北沟渡槽-南距马河倒虹吸	1185.089	1191.083	13	2.5	56.916	56.676	62.879	62.614	0.013	
126	CH-南拒马河倒虹吸-北拒马河南支倒虹吸	1191.891	1193.985	11.4	2.5	56.43	56.346	62.369	62.271	0.013	
127	CH-北拒马河南支渠道倒虹吸-三岔沟分水口	1194.8	1195.724	11.1	2.5	56.619	56.578	62.879	62.614	0.013	
128	CH-三岔沟分水口-北拒马河退水闸	1195.724	1197.636	11	2.5	56.578	55.974	62.369	62.369	0.013	
129	CH-北拒马河退水闸-北拒马河节制闸	1197.636	1197.669	12.7	0	55.974	55.974	62.369	62.271	0.013	
渐变段参数数组	名称	进口里程	出口里程	局部水力损失	局部水力损失						
1	JBD-渠道渐变段	970.888	970.948	0.1	0						
2	JBD-石津暗渠进口渐变段	971.781	971.851	0.1	0						
3	JBD-石津暗渠出口渐变段	972.001	972.085	0.1	0						
4	JBD-渠道渐变段	973.32	973.33	0.1	0						
5	JBD-滹沱河倒虹吸进口渐变段	977.851	978.198	0.1	0						
6	JBD-渠道渐变段	980.263	980.353	0.1	0						
7	JBD-渠道渐变段	987.211	987.231	0.1	0						
8	JBD-渠道渐变段	989.591	989.611	0.1	0						
9	JBD-渠道渐变段	997.411	997.421	0.1	0						
10	JBD-渠道渐变段	998.891	998.911	0.1	0						
11	JBD-磁河倒虹吸进口渐变段	1001.733	1001.796	0.1	0						
12	JBD-渠道渐变段	1002.254	1002.312	0.1	0						
13	JBD-渠道渐变段	1007.13	1007.33	0.1	0						
14	JBD-渠道渐变段	1011.410	1011.42	0.1	0						
15	JBD-沙河北倒虹吸出口渐变段	1015.275	1015.35	0.1	0						
16	JBD-沙河北倒虹吸出口渐变段	1017.43	1017.49	0.1	0						
17	JBD-渠道渐变段	1019.095	1019.115	0.1	0						
18	JBD-朔黄铁路涵洞进口渐变段	1027.279	1027.319	0.1	0						
19	JBD-渠道渐变段	1027.420	1027.475	0.1	0.1						
20	JBD-孟良河倒虹吸进口渐变段	1035.575	1035.645	0.1	0						
21	JBD-孟良河倒虹吸出口渐变段	1035.955	1035.975	0.1	0						
22	JBD-漠道沟倒虹吸进口渐变段	1036.756	1036.811	0.1	0						
23	JBD-渠道渐变段	1037.053	1037.987	0.1	0						
24	JBD-唐河渠道倒虹吸进口渐变段	1045.131	1045.186	0.1	0						
25	JBD-渠道渐变段	1046.216	1046.286	0.1	0						
26	JBD-渠道渐变段	1047.175	1047.185	0.1	0						
27	JBD-渠道渐变段	1058.465	1058.485	0.1	0						
28	JBD-渠道渐变段	1071.817	1071.827	0.1	0						
29	JBD-渠道渐变段	1072.161	1072.201	0.1	0						
30	JBD-渠道渐变段	1078.853	1078.873	0.1	0						
31	JBD-渠道渐变段	1080.408	1080.428	0.1	0						
32	JBD-渠道渐变段	1082.930	1082.950	0.1	0						
33	JBD-渠道渐变段	1084.24	1084.26	0.1	0						
34	CH-蒲阳河倒虹吸进口渠段	1084.794	1084.859	0.1	0						
35	JBD-渠道渐变段	1085.119	1085.189	0.1	0						
36	JBD-渠道渐变段	1087.129	1087.149	0.1	0						
37	JBD-渠道渐变段	1089.258	1089.278	0.1	0						
38	JBD-渠道渐变段	1089.765	1089.785	0.1	0						
39	JBD-渠道渐变段	1092.511	1092.531	0.1	0						
40	JBD-雾闪一隧洞进口渐变段	1094.454	1094.514	0.56	0.1						
41	JBD-雾闪一隧洞出口渐变段	1095.169	1095.259	0.1	0						
42	JBD-雾闪二隧洞进口渐变段	1096.568	1096.628	0.6	0.1						
43	JBD-渠道渐变段	1096.946	1096.956	0.1	0						
44	JBD-界河倒虹吸进口渐变段	1097.033	1097.058	0.1	0						
45	JBD-界河倒虹吸出口渐变段	1097.584	1097.679	0.1	0						
46	JBD-渠道渐变段	1098.493	1098.503	0.1	0						
47	JBD-渠道渐变段	1101.427	1101.447	0.1	0						
48	JBD-吴庄隧洞进口渐变段	1104.674	1104.685	0.1	0						
49	JBD-吴庄隧洞出口渐变段	1106.902	1106.982	0.5	0.1						
50	JBD-漕河渡槽进口渐变段	1109.093	1109.148	0.15	0.1						
51	JBD-漕河渡槽出口渐变段	1110.149	1110.159	0.1	0						
52	JBD-岗头隧洞出口渐变段	1113.852	1113.928	0.1	0						
53	JBD-渠道渐变段	1114.195	1114.235	0.1	0						
54	JBD-渠道渐变段	1115.777	1115.787	0.1	0						
55	JBD-渠道渐变段	1117.234	1117.254	0.1	0						
56	JBD-渠道渐变段	1117.864	1117.894	0.1	0						
57	JBD-渠道渐变段	1119.274	1119.294	0.1	0						
58	JBD-渠道渐变段	1121.955	1121.995	0.1	0						
59	JBD-渠道渐变段	1124.694	1124.704	0.1	0						
60	JBD-渠道渐变段	1127.642	1127.682	0.1	0						
61	JBD-釜山隧洞进口渐变段	1127.930	1127.957	0.1	0.1						
62	JBD-釜山隧洞出口渐变段	1130.466	1130.541	0.1	0						
63	JBD-渠道渐变段	1130.652	1130.692	0.1	0						
64	JBD-渠道渐变段	1131.392	1131.412	0.1	0						
65	JBD-渠道渐变段	1132.761	1132.791	0.1	0						
66	JBD-瀑河倒虹吸进口渐变段	1135.715	1135.750	0.1	0						
67	JBD-渠道渐变段	1136.895	1136.905	0.1	0						
68	JBD-渠道渐变段	1143.489	1143.509	0.1	0						
69	JBD-渠道渐变段	1144.389	1144.399	0.1	0						
70	JBD-渠道渐变段	1144.717	1144.737	0.1	0						
71	JBD-中易水渠道倒虹吸进口渐变段	1145.907	1146.974	0.15	0						
72	JBD-中易水渠道倒虹吸出口渐变段	1147.493	1147.57	0.1	0						
73	JBD-渠道渐变段	1148.565	1148.570	0.1	0						
74	JBD-渠道渐变段	1152.516	1152.826	0.1	0						
75	JBD-渠道渐变段	1153.326	1153.386	0.1	0						
76	JBD-渠道渐变段	1153.926	1153.946	0.1	0						
77	JBD-渠道渐变段	1154.071	1154.091	0.1	0						
78	JBD-北易水渠道倒虹吸进口渐变段	1157.130	1157.180	0.15	0						
79	JBD-渠道渐变段	1157.69	1157.735	0.1	0						
80	JBD-厂城倒虹吸进口渐变段	1157.989	1158.039	0.1	0						
81	JBD-厂城倒虹吸出口渐变段	1158.226	1158.291	0.1	0						
82	JBD-渠道渐变段	1160.515	1160.545	0.1	0						
83	JBD-渠道渐变段	1161.275	1161.315	0.1	0						
84	JBD-七里庄沟倒虹吸进口渐变段	1163.186	1163.226	0.1	0						
85	JBD-七里庄沟倒虹吸出口渐变段	1163.417	1163.482	0.1	0						
86	JBD-渠道渐变段	1164.714	1164.744	0.1	0						
87	JBD-渠道渐变段	1165.573	1165.583	0.1	0						
88	JBD-渐变段395Ex	1166.943	1166.973	0.1	0						
89	JBD-渠道渐变段	1168.153	1168.173	0.1	0						
90	JBD-马头沟渠道倒虹吸进口渐变段	1169.827	1169.867	0.1	0						
91	JBD-马头沟渠道倒虹吸出口渐变段	1170.164	1170.224	0.1	0						
92	JBD-坟庄河渠道倒虹吸进口渐变段	1172.13	1172.14	0.1	0						
93	JBD-渠道渐变段	1172.428	1172.438	0.1	0						
94	JBD-渠道渐变段	1174.771	1174.801	0.1	0						
95	JBD-渠道渐变段	1175.231	1175.271	0.1	0						
96	JBD-渠道渐变段	1176.371	1176.391	0.1	0						
97	JBD-渠道渐变段	1177.77	1177.8	0.1	0						
98	JBD-渠道渐变段	1178.82	1178.84	0.1	0						
99	JBD-下车亭隧洞进口渐变段	1179.107	1179.163	0.1	0						
100	JBD-下车亭隧洞出口渐变段	1179.868	1179.939	0.1	0						
101	JBD-渠道渐变段	1183.357	1183.367	0.1	0						
102	JBD-水北沟渡槽进口渐变段	1184.878	1184.916	0.1	0						
103	JBD-水北沟渡槽出口渐变段	1185.036	1185.089	0.1	0						
104	JBD-南距马河渠道倒虹吸进口渐变段	1191.083	1191.133	0.1	0						
105	JBD-南距马河渠道倒虹吸出口渐变段	1191.811	1191.891	0.1	0						
106	JBD-北拒马河南支倒虹吸进口渐变段	1193.985	1194.035	0.1	0						
107	JBD-北拒马河南支倒虹吸出口渐变段	1194.72	1194.8	0.1	0						
倒虹吸参数数组	名称	进口里程	出口里程	闸门个数	底宽	高度	长度	进口底高程	出口底高程	糙率	
1	DHX89-滹沱河渠道倒虹吸	978.198	980.116	3	6	6.2	2043.0	67.161	67.787	0.015	0.02
2	DHX90-磁河渠道倒虹吸	1001.796	1002.169	3	6	6.1	438.0	65.590	66.721	0.015	0.02
3	DHX91-沙河（北）渠道倒虹吸	1015.35	1017.385	3	6	6.1	2060.0	64.740	65.344	0.015	0.02
4	DHX92-孟良河渠道倒虹吸	1035.645	1035.955	3	6	6	310.0	63.311	64.279	0.015	0.02
5	DHX93-漠道沟渠道倒虹吸	1036.811	1036.963	3	5.5	5.7	152.0	63.554	64.554	0.015	0.02
