计算元件基本参数及相互连接关系文件											
元件个数（上下游边界不算做计算元件）											
1585											
各类型个数											
渠道	渐变段	倒虹吸	节制闸	分水口							
316	7	120									
317	5	142									
318	7	121									
319	5	143									
320	7	122									
321	5	144									
322	7	123									
323	5	145									
324	7	124									
325	5	146									
326	7	125									
327	5	147									
328	7	126									
329	5	148									
330	7	127									
331	10	18									
332	7	128									
333	5	149									
334	4	26									
335	5	150									
336	7	129									
337	10	19									
338	6	14									
339	5	151									
340	7	130									
341	5	152									
342	7	131									
343	10	20									
344	7	132									
345	5	153									
346	4	27									
347	5	154									
348	7	133									
349	5	155									
350	7	134									
351	5	156									
352	7	135									
353	5	157									
354	7	136									
355	5	158									
356	7	137									
357	5	159									
358	4	28									
359	5	160									
360	7	138									
361	5	161									
362	6	15									
363	5	162									
364	7	139									
365	5	163									
366	7	140									
367	5	164									
368	7	141									
369	5	165									
370	7	142									
371	5	166									
372	7	143									
373	5	167									
374	4	29									
375	5	168									
376	7	144									
377	5	169									
378	7	145									
379	5	170									
380	7	146									
381	5	171									
382	7	147									
383	5	172									
384	7	148									
385	5	173									
386	4	30									
387	5	174									
388	4	31									
389	5	175									
390	7	149									
391	10	21									
392	6	16									
393	5	176									
394	7	150									
395	5	177									
396	7	151									
397	10	22									
398	7	152									
399	5	178									
400	4	32									
401	5	179									
402	7	153									
403	5	180									
404	7	154									
405	10	23									
406	7	155									
407	5	181									
408	7	156									
409	5	182									
410	7	157									
411	5	183									
412	7	158									
413	10	24									
414	6	17									
415	5	184									
416	7	159									
417	5	185									
418	4	33									
419	5	186									
420	4	34									
421	5	187									
422	7	160									
423	10	25									
424	7	161									
425	5	188									
426	7	162									
427	5	189									
428	7	163									
429	5	190									
430	7	164									
431	5	191									
432	7	165									
433	5	192									
434	7	166									
435	10	26									
436	7	167									
437	5	193									
438	4	35									
439	5	194									
440	7	168									
441	5	195									
442	6	18									
443	5	196									
444	7	169									
445	5	197									
446	7	170									
447	10	27									
448	7	171									
449	5	198									
450	4	36									
451	5	199									
452	7	172									
453	5	200									
454	7	173									
455	5	201									
456	7	174									
457	5	202									
458	7	175									
459	5	203									
460	7	176									
461	10	28									
462	6	19									
463	5	204									
464	7	177									
465	5	205									
466	7	178									
467	5	206									
468	7	179									
469	5	207									
470	7	180									
471	5	208									
472	7	181									
473	5	209									
474	7	182									
475	5	210									
476	7	183									
477	5	211									
478	7	184									
479	5	212									
480	7	185									
481	5	213									
482	7	186									
483	5	214									
484	7	187									
485	5	215									
486	7	188									
487	5	216									
488	7	189									
489	10	29									
490	6	20									
491	5	217									
492	7	190									
493	5	218									
494	7	191									
495	5	219									
496	7	192									
497	5	220									
498	4	37									
499	5	221									
500	7	193									
501	5	222									
502	7	194									
503	5	223									
504	7	195									
505	5	224									
506	7	196									
507	5	225									
508	7	197									
509	5	226									
510	7	198									
511	5	227									
512	7	199									
513	5	228									
514	7	200									
515	5	229									
516	7	201									
517	5	230									
518	7	202									
519	5	231									
520	7	203									
521	5	232									
522	7	204									
523	5	233									
524	7	205									
525	10	30									
526	6	21									
527	5	234									
528	7	206									
529	5	235									
530	7	207									
531	10	31									
532	7	208									
533	5	236									
534	7	209									
535	5	237									
536	4	38									
537	5	238									
538	7	210									
539	10	32									
540	7	211									
541	5	239									
542	4	39									
543	5	240									
544	7	212									
545	5	241									
546	7	213									
547	10	33									
548	6	22									
549	5	242									
550	7	214									
551	5	243									
552	7	215									
553	5	244									
554	4	40									
555	5	245									
556	7	216									
557	5	246									
558	7	217									
559	5	247									
560	7	218									
561	5	248									
562	7	219									
563	5	249									
564	4	41									
565	5	250									
566	4	42									
567	5	251									
568	7	220									
569	5	252									
570	7	221									
571	10	34									
572	6	23									
573	5	253									
574	7	222									
575	5	254									
576	7	223									
577	5	255									
578	7	224									
579	5	256									
580	4	43									
581	5	257									
582	4	44									
583	5	258									
584	7	225									
585	5	259									
586	6	24									
587	5	260									
588	7	226									
589	5	261									
590	7	227									
591	10	35									
592	7	228									
593	5	262									
594	4	45									
595	5	263									
596	7	229									
597	5	264									
598	4	46									
599	5	265									
600	7	230									
601	10	36									
602	6	25									
603	5	266									
604	7	231									
605	5	267									
606	7	232									
607	10	37									
608	7	233									
609	5	268									
610	7	234									
611	5	269									
612	4	47									
613	5	270									
614	7	235									
615	10	38									
616	6	26									
617	5	271									
618	7	236									
619	5	272									
620	7	237									
621	10	39									
622	7	238									
623	5	273									
624	7	239									
625	10	40									
626	7	240									
627	5	274									
628	7	241									
629	5	275									
630	4	48									
631	5	276									
632	7	242									
633	5	277									
634	7	243									
635	10	41									
636	7	244									
637	5	278									
638	7	245									
639	10	42									
640	7	246									
641	5	279									
642	7	247									
643	5	280									
644	4	49									
645	5	281									
646	7	248									
647	10	43									
648	7	249									
649	5	282									
650	7	250									
651	10	44									
652	7	251									
653	5	283									
654	4	50									
655	5	284									
656	7	252									
657	10	45									
658	6	27									
659	5	285									
660	7	253									
661	5	286									
662	7	254									
663	10	46									
664	7	255									
665	5	287									
666	4	51									
667	5	288									
668	7	256									
669	10	47									
670	7	257									
671	5	289									
672	4	52									
673	5	290									
674	7	258									
675	5	291									
676	7	259									
677	5	292									
678	7	260									
679	5	293									
680	7	261									
681	5	294									
682	7	262									
683	5	295									
684	7	263									
685	5	296									
686	7	264									
687	5	297									
688	7	265									
689	5	298									
690	7	266									
691	5	299									
692	7	267									
693	5	300									
694	7	268									
695	5	301									
696	4	53									
697	5	302									
698	7	269									
699	10	48									
700	6	28									
701	5	303									
702	7	270									
703	5	304									
704	4	54									
705	5	305									
706	7	271									
707	5	306									
708	7	272									
709	5	307									
710	7	273									
711	10	49									
712	7	274									
713	5	308									
714	7	275									
715	5	309									
716	4	55									
717	5	310									
718	4	56									
719	5	311									
720	7	276									
721	5	312									
722	6	29									
723	5	313									
724	7	277									
725	5	314									
726	7	278									
727	5	315									
728	7	279									
729	5	316									
730	7	280									
731	10	50									
732	7	281									
733	5	317									
734	7	282									
735	10	51									
736	7	283									
737	5	318									
738	7	284									
739	10	52									
740	7	285									
741	5	319									
742	7	286									
743	10	53									
744	7	287									
745	5	320									
746	7	288									
747	10	54									
748	7	289									
749	5	321									
750	7	290									
751	10	55									
752	7	291									
753	5	322									
754	4	57									
755	5	323									
756	7	292									
757	10	56									
758	6	30									
759	5	324									
760	7	293									
761	5	325									
762	7	294									
763	5	326									
764	7	295									
765	5	327									
766	7	296									
767	5	328									
768	7	297									
769	5	329									
770	7	298									
771	5	330									
772	7	299									
773	5	331									
774	7	300									
775	5	332									
776	7	301									
777	5	333									
778	4	58									
779	5	334									
780	7	302									
781	10	57									
782	7	303									
783	5	335									
784	4	59									
785	5	336									
786	7	304									
787	10	58									
788	6	31									
789	5	337									
790	7	305									
791	5	338									
792	4	60									
793	5	339									
794	7	306									
795	5	340									
796	7	307									
797	5	341									
798	7	308									
799	5	342									
800	7	309									
801	5	343									
802	7	310									
803	5	344									
804	7	311									
805	10	59									
806	7	312									
807	5	345									
808	7	313									
809	10	60									
810	7	314									
811	5	346									
812	4	61									
813	5	347									
814	7	315									
815	5	348									
816	7	316									
817	5	349									
818	7	317									
819	5	350									
820	4	62									
821	5	351									
822	7	318									
823	10	61									
824	6	32									
825	5	352									
826	7	319									
827	5	353									
828	7	320									
829	10	62									
830	7	321									
831	5	354									
832	4	63									
833	5	355									
834	7	322									
835	10	63									
836	7	323									
837	5	356									
838	7	324									
839	10	64									
840	7	325									
841	5	357									
842	4	64									
843	5	358									
844	7	326									
845	5	359									
846	7	327									
847	10	65									
848	7	328									
849	5	360									
850	7	329									
851	5	361									
852	4	65									
853	5	362									
854	7	330									
855	10	66									
856	6	33									
857	5	363									
858	7	331									
859	5	364									
860	7	332									
861	5	365									
862	4	66									
863	5	366									
864	7	333									
865	5	367									
866	7	334									
867	5	368									
868	7	335									
869	5	369									
870	7	336									
871	5	370									
872	7	337									
873	10	67									
874	7	338									
875	5	371									
876	7	339									
877	5	372									
878	7	340									
879	5	373									
880	7	341									
881	5	374									
882	7	342									
883	5	375									
884	7	343									
885	5	376									
886	7	344									
887	5	377									
888	7	345									
889	5	378									
890	7	346									
891	5	379									
892	7	347									
893	5	380									
894	4	67									
895	5	381									
896	7	348									
897	5	382									
898	4	68									
899	5	383									
900	7	349									
901	5	384									
902	6	34									
903	5	385									
904	7	350									
905	5	386									
906	7	351									
907	10	68									
908	7	352									
909	5	387									
910	4	69									
911	5	388									
912	7	353									
913	5	389									
914	7	354									
915	5	390									
916	7	355									
917	5	391									
918	7	356									
919	5	392									
920	7	357									
921	5	393									
922	7	358									
923	10	69									
924	7	359									
925	5	394									
926	7	360									
927	5	395									
928	7	361									
929	5	396									
930	4	70									
931	5	397									
932	7	362									
933	5	398									
934	4	71									
935	5	399									
936	7	363									
937	10	70									
938	6	35									
939	5	400									
940	7	364									
941	5	401									
942	7	365									
943	5	402									
944	7	366									
945	5	403									
946	7	367									
947	5	404									
948	7	368									
949	5	405									
950	7	369									
951	5	406									
952	7	370									
953	5	407									
954	4	72									
955	5	408									
956	7	371									
957	10	71									
958	6	36									
959	5	409									
960	7	372									
961	5	410									
962	4	73									
963	5	411									
964	7	373									
965	10	72									
966	7	374									
967	5	412									
968	7	375									
969	5	413									
970	7	376									
971	5	414									
972	7	377									
973	5	415									
974	4	74									
975	5	416									
976	7	378									
977	5	417									
978	7	379									
979	5	418									
980	4	75									
981	5	419									
982	7	380									
983	5	420									
984	7	381									
985	5	421									
986	7	382									
987	10	73									
988	7	383									
989	5	422									
990	4	76									
991	5	423									
992	7	384									
993	5	424									
994	6	37									
995	5	425									
996	7	385									
997	5	426									
998	4	77									
999	5	427									
1000	7	386									
1001	5	428									
1002	7	387									
1003	5	429									
1004	7	388									
1005	5	430									
1006	7	389									
1007	5	431									
1008	7	390									
1009	5	432									
1010	4	78									
1011	5	433									
1012	7	391									
1013	5	434									
1014	7	392									
1015	5	435									
1016	7	393									
1017	5	436									
1018	4	79									
1019	5	437									
1020	4	80									
1021	5	438									
1022	7	394									
1023	10	74									
1024	6	38									
1025	5	439									
1026	7	395									
1027	5	440									
1028	7	396									
1029	5	441									
1030	7	397									
1031	5	442									
1032	7	398									
1033	5	443									
1034	7	399									
1035	5	444									
1036	4	81									
1037	5	445									
1038	7	400									
1039	5	446									
1040	7	401									
1041	5	447									
1042	7	402									
1043	5	448									
1044	7	403									
1045	5	449									
1046	4	82									
1047	5	450									
1048	7	404									
1049	5	451									
1050	7	405									
1051	5	452									
1052	7	406									
1053	5	453									
1054	7	407									
1055	5	454									
1056	7	408									
1057	5	455									
1058	7	409									
1059	5	456									
1060	4	83									
1061	5	457									
1062	7	410									
1063	5	458									
1064	6	39									
1065	5	459									
1066	7	411									
1067	5	460									
1068	7	412									
1069	5	461									
1070	7	413									
1071	5	462									
1072	7	414									
1073	5	463									
1074	7	415									
1075	5	464									
1076	7	416									
1077	5	465									
1078	7	417									
1079	5	466									
1080	7	418									
1081	5	467									
1082	7	419									
1083	5	468									
1084	7	420									
1085	5	469									
1086	7	421									
1087	5	470									
1088	4	84									
1089	5	471									
1090	7	422									
1091	10	75									
1092	7	423									
1093	5	472									
1094	7	424									
1095	10	76									
1096	6	40									
1097	5	473									
1098	7	425									
1099	5	474									
1100	4	85									
1101	5	475									
1102	7	426									
1103	5	476									
1104	4	86									
1105	5	477									
1106	7	427									
1107	10	77									
1108	6	41									
1109	5	478									
1110	7	428									
1111	5	479									
1112	4	87									
1113	5	480									
1114	7	429									
1115	5	481									
1116	7	430									
1117	5	482									
1118	7	431									
1119	5	483									
1120	4	88									
1121	5	484									
1122	7	432									
1123	10	78									
1124	6	42									
1125	5	485									
1126	7	433									
1127	5	486									
1128	7	434									
1129	5	487									
1130	7	435									
1131	5	488									
1132	7	436									
1133	5	489									
1134	7	437									
1135	5	490									
1136	7	438									
1137	10	79									
1138	7	439									
1139	5	491									
1140	4	89									
1141	5	492									
1142	4	90									
1143	5	493									
1144	7	440									
1145	10	80									
1146	6	43									
1147	5	494									
1148	7	441									
1149	5	495									
1150	7	442									
1151	10	81									
1152	7	443									
1153	5	496									
1154	7	444									
1155	5	497									
1156	7	445									
1157	5	498									
1158	7	446									
1159	5	499									
1160	7	447									
1161	5	500									
1162	7	448									
1163	5	501									
1164	7	449									
1165	5	502									
1166	4	91									
1167	5	503									
1168	7	450									
1169	5	504									
1170	7	451									
1171	5	505									
1172	7	452									
1173	5	506									
1174	4	92									
1175	5	507									
1176	4	93									
1177	5	508									
1178	7	453									
1179	5	509									
1180	4	94									
1181	5	510									
1182	7	454									
1183	5	511									
1184	6	44									
1185	5	512									
1186	7	455									
1187	5	513									
1188	4	95									
1189	5	514									
1190	7	456									
1191	5	515									
1192	7	457									
1193	5	516									
1194	7	458									
1195	5	517									
1196	7	459									
1197	5	518									
1198	7	460									
1199	5	519									
1200	7	461									
1201	5	520									
1202	4	96									
1203	5	521									
1204	7	462									
1205	5	522									
1206	7	463									
1207	5	523									
1208	7	464									
1209	5	524									
1210	4	97									
1211	5	525									
1212	7	465									
1213	10	82									
1214	6	45									
1215	5	526									
1216	7	466									
1217	5	527									
1218	7	467									
1219	5	528									
1220	7	468									
1221	5	529									
1222	7	469									
1223	10	83									
1224	7	470									
1225	5	530									
1226	7	471									
1227	5	531									
1228	4	98									
1229	5	532									
1230	7	472									
1231	10	84									
1232	7	473									
1233	5	533									
1234	7	474									
1235	5	534									
1236	7	475									
1237	5	535									
1238	7	476									
1239	5	536									
1240	7	477									
1241	5	537									
1242	7	478									
1243	5	538									
1244	7	479									
1245	5	539									
1246	7	480									
1247	10	85									
1248	7	481									
1249	5	540									
1250	4	99									
1251	5	541									
1252	7	482									
1253	5	542									
1254	4	100									
1255	5	543									
1256	7	483									
1257	10	86									
1258	6	46									
1259	5	544									
1260	7	484									
1261	5	545									
1262	7	485									
1263	10	87									
1264	7	486									
1265	5	546									
1266	4	101									
1267	5	547									
1268	7	487									
1269	10	88									
1270	7	488									
1271	5	548									
1272	7	489									
1273	5	549									
1274	7	490									
1275	5	550									
1276	7	491									
1277	5	551									
1278	7	492									
1279	5	552									
1280	7	493									
1281	5	553									
1282	7	494									
1283	5	554									
1284	7	495									
1285	5	555									
1286	7	496									
1287	5	556									
1288	7	497									
1289	5	557									
1290	4	102									
1291	5	558									
1292	4	103									
1293	5	559									
1294	7	498									
1295	5	560									
1296	6	47									
1297	5	561									
1298	7	499									
1299	5	562									
1300	7	500									
1301	5	563									
1302	7	501									
1303	5	564									
1304	7	502									
1305	5	565									
1306	4	104									
1307	5	566									
1308	7	503									
1309	10	89									
1310	6	48									
1311	5	567									
1312	7	504									
1313	5	568									
1314	4	105									
1315	5	569									
1316	7	505									
1317	5	570									
1318	7	506									
1319	5	571									
1320	4	106									
1321	5	572									
1322	7	507									
1323	5	573									
1324	7	508									
1325	5	574									
1326	7	509									
1327	10	90									
1328	6	49									
1329	5	575									
1330	7	510									
1331	5	576									
1332	7	511									
1333	5	577									
1334	4	107									
1335	5	578									
1336	7	512									
1337	5	579									
1338	4	108									
1339	5	580									
1340	7	513									
1341	10	91									
1342	6	50									
1343	5	581									
1344	7	514									
1345	5	582									
1346	7	515									
1347	5	583									
1348	7	516									
1349	5	584									
1350	7	517									
1351	5	585									
1352	4	109									
1353	5	586									
1354	7	518									
1355	10	92									
1356	7	519									
1357	5	587									
1358	4	110									
1359	5	588									
1360	7	520									
1361	10	93									
1362	6	51									
1363	5	589									
1364	7	521									
1365	5	590									
1366	4	111									
1367	5	591									
1368	7	522									
1369	10	94									
1370	6	52									
1371	5	592									
1372	7	523									
1373	5	593									
1374	7	524									
1375	5	594									
1376	7	525									
1377	5	595									
1378	4	112									
1379	5	596									
1380	4	113									
1381	5	597									
1382	7	526									
1383	5	598									
1384	6	53									
1385	5	599									
1386	7	527									
1387	5	600									
1388	4	114									
1389	5	601									
1390	7	528									
1391	5	602									
1392	4	115									
1393	5	603									
1394	7	529									
1395	5	604									
1396	7	530									
1397	5	605									
1398	7	531									
1399	5	606									
1400	4	116									
1401	5	607									
1402	7	532									
1403	10	95									
1404	6	54									
1405	5	608									
1406	7	533									
1407	5	609									
1408	7	534									
1409	5	610									
1410	7	535									
1411	5	611									
1412	7	536									
1413	5	612									
1414	7	537									
1415	5	613									
1416	7	538									
1417	5	614									
1418	7	539									
1419	5	615									
1420	7	540									
1421	5	616									
1422	7	541									
1423	5	617									
1424	4	117									
1425	5	618									
1426	7	542									
1427	10	96									
1428	7	543									
1429	5	619									
1430	7	544									
1431	5	620									
1432	7	545									
1433	5	621									
1434	4	118									
1435	5	622									
1436	7	546									
1437	5	623									
1438	7	547									
1439	5	624									
1440	7	548									
1441	5	625									
1442	7	549									
1443	5	626									
1444	4	119									
1445	5	627									
1446	6	55									
1447	5	628									
1448	7	550									
1449	5	629									
1450	7	551									
1451	5	630									
1452	7	552									
1453	5	631									
1454	7	553									
1455	5	632									
1456	4	120									
1457	5	633									
1458	7	554									
1459	5	634									
1460	7	555									
1461	5	635									
1462	4	121									
1463	5	636									
1464	6	56									
1465	5	637									
1466	7	556									
1467	5	638									
1468	7	557									
1469	5	639									
1470	7	558									
1471	5	640									
1472	7	559									
1473	5	641									
1474	7	560									
1475	5	642									
1476	7	561									
1477	5	643									
1478	7	562									
1479	5	644									
1480	7	563									
1481	5	645									
1482	4	122									
1483	5	646									
1484	7	564									
1485	10	97									
1486	6	57									
1487	5	647									
1488	7	565									
1489	5	648									
1490	7	566									
1491	5	649									
1492	7	567									
1493	5	650									
1494	7	568									
1495	5	651									
1496	7	569									
1497	10	98									
1498	7	570									
1499	5	652									
1500	7	571									
1501	5	653									
1502	7	572									
1503	5	654									
1504	7	573									
1505	5	655									
1506	7	574									
1507	5	656									
1508	7	575									
1509	5	657									
1510	4	123									
1511	5	658									
1512	4	124									
1513	5	659									
1514	7	576									
1515	10	99									
1516	6	58									
1517	5	660									
1518	7	577									
1519	5	661									
1520	7	578									
1521	10	100									
1522	7	579									
1523	5	662									
1524	7	580									
1525	5	663									
1526	7	581									
1527	5	664									
1528	7	582									
1529	10	101									
1530	7	583									
1531	5	665									
1532	7	584									
1533	5	666									
1534	7	585									
1535	5	667									
1536	7	586									
1537	5	668									
1538	7	587									
1539	5	669									
1540	7	588									
1541	10	102									
1542	7	589									
1543	5	670									
1544	7	590									
1545	10	103									
1546	6	59									
1547	5	671									
1548	7	591									
1549	5	672									
1550	7	592									
1551	5	673									
1552	7	593									
1553	5	674									
1554	7	594									
1555	5	675									
1556	7	595									
1557	5	676									
1558	7	596									
1559	5	677									
1560	7	597									
1561	5	678									
1562	7	598									
1563	5	679									
1564	4	125									
1565	5	680									
1566	7	599									
1567	5	681									
1568	4	126									
1569	5	682									
1570	7	600									
1571	5	683									
1572	7	601									
1573	5	684									
1574	7	602									
1575	10	104									
1576	7	603									
1577	5	685									
1578	7	604									
1579	10	105									
1580	7	605									
1581	5	686									
1582	4	127									
1583	5	687									
1584	4	128									
1585	5	688									
渠道参数数组	渠道名称	进口里程	出口里程	底宽	边坡系数	进口底高程	出口底高程	进口顶高程	出口顶高程	糙率	
1	CH1-陶岔渠首-肖楼分水口	0	4.196	13.5	3	139.380	139.212	148.915	148.759	0.015	
2	CH2-肖楼分水口-渠道渐变段起点	4.196	4.59	13.5	3	139.212	139.196	148.759	148.743	0.015	
3	CH3-渠道渐变段终点-渠道渐变段起点	4.61	8.013	13.5	3.5	139.196	139.059	148.746	148.416	0.015	
4	CH4-渠道渐变段终点-渠道渐变段起点	8.033	11.99	10.5	3	139.059	138.900	148.395	148.367	0.015	
5	CH5-渠道渐变段终点-渠道渐变段起点	12.01	13.765	13.5	3.5	138.900	138.828	148.395	148.367	0.015	
6	CH6-渠道渐变段终点-刁河退水闸	13.805	14.538	10.5	2	138.828	138.8	148.395	148.367	0.015	
7	CH7-刁河退水闸-刁河渡槽进口渐变段	14.538	14.58	19	2	138.800	138.796	148.367	148.367	0.015	
8	CH8-刁河渡槽进口渐变段-刁河渡槽进口节制闸	14.61	14.62	26	0	140.700	140.700	153.700	153.700	0.015	
9	CH9-刁河渡槽	14.62	15.051	26	0	140.7	140.64	153.7	153.64	0.015	
10	CH10-刁河渡槽出口渐变段-望城岗分水口	15.121	22.283	19	2	138.491	138.205	147.976	147.683	0.015	
11	CH11-望城岗分水口-渠道渐变段起点	22.283	26.8	19	2	138.205	138.023	147.683	147.110	0.015	
12	CH12-渠道渐变段终点-渠道渐变段起点	26.83	28.385	19	2.75	138.023	137.96	147.683	147.110	0.015	
13	CH13-渠道渐变段终点-湍河退水闸	28.415	36.354	15	2	137.96	137.642	147.683	147.110	0.015	
14	CH14-湍河退水闸-湍河渡槽进口渐变段	36.354	36.404	19	2	137.642	137.603	147.110	147.110	0.015	
15	CH15-湍河渡槽进口渐变段-湍河渡槽进口节制闸	36.434	36.444	27	0	139.25	139.25	148.25	148.25	0.015	
16	CH16-湍河渡槽	36.444	37.244	27	0	139.25	139	147.250	147.000	0.015	
17	CH17-湍河渡槽出口渐变段-渠道渐变段起点	37.299	40.9	23	3.25	137.7	137.55	146.624	146.480	0.015	
18	CH18-渠道渐变段终点-彭家分水口	40.95	44.505	23	3.25	137.55	137.407	146.493	146.379	0.015	
19	CH19-彭家分水口-渠道渐变段起点	44.505	47	15.5	3.25	137.407	137.306	146.379	146.264	0.015	
20	CH20-渠道渐变段终点-严陵河退水闸	47.05	48.695	15.5	2	137.306	137.244	146.379	146.264	0.015	
21	CH21-严陵河退水闸-严陵河渡槽进口渐变段	48.695	48.741	22	2	137.244	137.211	146.246	146.182	0.015	
22	CH22-严陵河渡槽进口渐变段-严陵河渡槽进口节制闸	48.771	48.781	26	0	138.53	138.53	147.53	147.53	0.015	
23	CH23-严陵河渡槽	48.781	49.101	26	0	138.530	138.510	146.530	146.510	0.015	
24	CH24-严陵河渡槽出口渐变段-渠道渐变段起点	49.161	50.09	22	2.25	136.990	136.955	145.933	145.270	0.015	
25	CH25-渠道渐变段终点-渠道渐变段起点	50.1	57.085	22	2.25	136.955	136.675	145.933	145.270	0.015	
26	CH26-渠道渐变段终点-渠道渐变段起点	57.115	59.035	20.5	2.75	136.675	136.597	145.933	145.270	0.015	
27	CH27-渠道渐变段终点-渠道渐变段起点	59.065	63.835	18	2.5	136.597	136.405	145.933	145.270	0.015	
28	CH28-渠道渐变段终点-渠道渐变段起点	63.865	66.800	19.5	2	136.405	136.285	145.933	145.270	0.015	
29	CH29-渠道渐变段终点-西赵河渠倒虹进口渐变段	66.85	69.521	22	3.25	136.285	136.137	145.283	145.157	0.015	
30	CH30-西赵河渠倒虹出口渐变段-谭寨分水口	69.872	70.562	22	2	135.962	135.939	144.872	144.872	0.015	
31	CH31-谭寨分水口-淇河渠倒虹进口渐变段	70.562	74.367	22	2	135.939	135.569	144.872	144.694	0.015	
32	CH32-淇河倒虹吸出口节制闸-淇河渠倒虹出口渐变段	74.64	74.661	27.6	0	135.040	135.040	144.040	144.040	0.015	
33	CH33-淇河渠倒虹出口渐变段-渠道渐变段起点	74.721	85.750	22	3	135.569	135.125	144.396	143.967	0.015	
34	CH34-渠道渐变段终点-潦河退水闸	85.8	87.971	22	3	135.125	135.042	143.980	143.905	0.015	
